Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
37	37677.754	0.0	37677.754	37677.754	24.0	1861.2432	16944.627	10230.327	36641.383	1590.2627	912	-898.16876	4365606.5	-279.2802	-2396187.5	-0.70484006	-0.18700439	0.6666667	79.0	4307.039223909378
38	32486.643	0.0	32486.643	32486.643	24.0	1702.3864	21508.588	7082.3413	32641.73	5869.367	936	4209.8174	45139708.0	-360.48926	-43224410.0	-0.71614796	0.35678974	0.29166666	1.0	4318.980904817581
39	33705.973	0.0	33705.973	33705.973	24.0	1716.6084	15992.98	7947.2886	34637.3	4425.4126	960	-266.8791	3959822.0	21.782822	-2327367.5	-0.7163018	0.16965468	0.375	3.0	4331.693675994873
40	37972.836	0.0	37972.836	37972.836	24.0	1826.9424	13866.888	9395.835	31749.318	95.12974	984	-3455.1487	24719594.0	-711.4182	-20779696.0	-0.71716154	-0.3225368	1.0	79.0	4345.046383857727
41	38451.7	0.0	38451.7	38451.7	24.0	1871.3021	18054.99	10791.535	37071.94	1440.0219	1008	-412.47964	4283781.0	-250.88528	-2085891.2	-0.7366461	0.0777899	0.5416667	21.0	4356.810471773148
42	34946.207	0.0	34946.207	34946.207	24.0	1753.0468	19768.627	8248.71	35126.203	5289.88	1032	1901.916	9266723.0	-158.20789	-7577113.0	-0.7399709	0.12463062	0.16666667	1.0	4367.601042747498
43	34836.816	0.0	34836.816	34836.816	24.0	1735.809	17365.178	7519.113	30959.967	3689.0476	1056	256.9802	4698276.5	-118.4268	-2030379.2	-0.7401984	0.15152787	0.29166666	2.0	4377.6090259552
44	31146.277	0.0	31146.277	31146.277	24.0	1672.6406	17598.826	7788.793	32882.46	1725.4906	1080	1974.9834	9651792.0	-129.59363	-8146115.5	-0.7406082	0.14420779	0.375	1.0	4387.265893697739
45	35872.195	0.0	35872.195	35872.195	24.0	1755.1322	14001.4795	8591.202	33655.684	136.12828	1104	-2660.1614	16739952.0	-514.28613	-14386282.0	-0.74078393	-0.37137997	0.8333333	79.0	4397.00416469574
46	32006.066	0.0	32006.066	32006.066	24.0	1700.4629	19024.688	8207.209	33736.406	3000.0095	1128	2763.334	17855198.0	-188.93188	-16430013.0	-0.7884921	0.17075169	0.375	2.0	4406.093694925308
47	29529.205	0.0	29529.205	29529.205	24.0	1655.9283	18468.15	7139.2896	32977.152	3683.4382	1152	3152.8633	20195446.0	-110.52515	-19432252.0	-0.7886823	0.08199894	0.29166666	2.0	4415.573251724243
48	35902.81	0.0	35902.81	35902.81	24.0	1755.5103	11913.276	7669.308	27457.574	589.61536	1176	-4347.055	36758116.0	-809.8418	-35476576.0	-0.7889162	-0.57364875	0.875	79.0	4427.979025840759
49	31528.969	0.0	31528.969	31528.969	24.0	1681.3615	17346.787	6871.3994	29530.61	2482.0242	1200	1592.2881	12921284.0	-206.7461	-11644286.0	-0.83988315	0.09731261	0.45833334	2.0	4437.800145864487
50	38381.336	0.0	38381.336	38381.336	24.0	1839.0732	13816.711	9372.313	32148.52	339.91565	1224	-3804.748	29867136.0	-743.05273	-27570268.0	-0.84025	-0.45842418	0.75	79.0	4447.757384777069
51	33716.85	0.0	33716.85	33716.85	24.0	1721.3922	19038.541	9269.246	39105.023	3405.129	1248	2065.4465	12533765.0	-160.65466	-11940970.0	-0.8525323	0.07767365	0.20833333	1.0	4457.9387550354
52	39058.656	0.0	39058.656	39058.656	24.0	1873.7721	11690.453	7828.5215	26445.598	819.4079	1272	-5774.361	62332930.0	-1035.1001	-58859456.0	-0.8527393	-0.54059154	0.9583333	79.0	4470.3735427856445
